,P,Y,W,N
1,3001-3013,3215-3228,1435-1448,1399-1420
2,3015-3028,2015-2028,1421-1434,1377-1398
3,2139-2146,4029-4142,1015-1028,1355-1376
4,2113-2114,2405-2418,1001-1014,1333-1354
5,2397-2404,2419-2432,,1311-1332
6,2287-2294,,,1289-1310
7,2383-2396,,,1273-1288
8,3175-3214,,,1257-1272
9,3139-3146,,,1241-1256
10,3401-3408,,,1225-1240
11,3029-3038,,,1209-1224
12,3409-3420,,,1193-1208
13,2039-2050,,,1177-1192
14,3039-3050,,,1161-1176
15,3421-3434,,,1139-1160
16,3435-3448,,,1117-1138
17,,,,1095-1116
18,,,,1073-1092
19,,,,1052-1072
20,,,,1029-1050
